Configuration,Model,Accuracy (%),Precision (%),Recall (%),F1-Score (%),Train Time (s)
Baseline,Decision Tree,76.08,79.54,76.08,71.9,0.67
Baseline,Random Forest,75.12,81.53,75.12,70.99,0.73
Baseline,KNN,74.96,80.25,74.96,70.56,0.02
Baseline,Logistic Regression,76.22,75.54,76.22,71.45,3.91
Baseline,XGBoost,76.05,79.79,76.05,71.33,1.54
Baseline,Naive Bayes,43.3,55.81,43.3,34.7,0.09
With SMOTE,Decision Tree,73.53,68.56,73.53,69.62,2.92
With SMOTE,Random Forest,74.87,80.37,74.87,70.51,3.18
With SMOTE,KNN,75.61,79.94,75.61,71.53,0.06
With SMOTE,Logistic Regression,79.23,82.62,79.23,77.8,27.54
With SMOTE,XGBoost,78.58,83.36,78.58,75.59,5.23
With SMOTE,Naive Bayes,45.28,53.4,45.28,37.93,0.25
With FS,Decision Tree,73.51,69.25,73.51,69.35,0.39
With FS,Random Forest,75.03,79.69,75.03,70.32,0.76
With FS,KNN,75.76,80.16,75.76,72.0,0.01
With FS,Logistic Regression,71.64,71.74,71.64,66.78,2.03
With FS,XGBoost,77.91,78.07,77.91,73.85,1.22
With FS,Naive Bayes,68.88,75.71,68.88,70.72,0.05
SMOTE + FS,Decision Tree,73.51,77.98,73.51,70.6,1.68
SMOTE + FS,Random Forest,75.19,79.71,75.19,70.58,2.92
SMOTE + FS,KNN,76.43,77.5,76.43,73.14,0.03
SMOTE + FS,Logistic Regression,74.52,76.26,74.52,73.16,22.24
SMOTE + FS,XGBoost,77.64,82.63,77.64,74.0,3.36
SMOTE + FS,Naive Bayes,68.97,74.36,68.97,70.91,0.14
