level,optimizer,fitness,n_features,test_f1,seconds
level1,GWO,0.008165236051502187,10,0.7635992010033911,12.609173774719238
level1,PSO,0.008916806120009571,12,0.7781620325540647,12.825119972229004
level1,MVO,0.00897011714080798,16,0.7792172739541161,12.48003625869751
level1,MFO,0.00963441372735939,14,0.7859039560736307,15.051693439483643
level1,GA,0.010181492109038737,18,0.7607136114781952,16.9721782207489
level1,WOA,0.01134386174016686,18,0.7567842919329444,14.571740865707397
level2,GA,0.006500770638223998,19,0.5404597396589785,26.94588041305542
level2,MVO,0.009157731745520389,16,0.5260331961485457,23.9483962059021
level2,MFO,0.009368083186885237,19,0.49177153381604555,29.14232587814331
level2,PSO,0.009845256300406145,21,0.5430479091798904,32.607033252716064
level2,GWO,0.012588831159016822,20,0.5913491076890113,26.036346912384033
level2,WOA,0.014453488073413491,18,0.50321720922025,24.823663234710693
