l1_subset,l1_algo,l2_subset,l2_algo,accuracy,macro_f1,weighted_f1,false_alarm_rate,forwarded,recall_Normal,recall_DoS,recall_Probe,recall_R2L,recall_U2R,latency_us
GWO,CatBoost,MVO,LightGBM,0.7990152590489709,0.5608718510296544,0.7585910168965554,0.029966017917825147,0.4081352022711143,0.9700339820821748,0.8478144274604451,0.8587360594795539,0.06463326071169208,0.065,1.2764651924759765
PSO,LightGBM,MVO,LightGBM,0.7937366926898509,0.559656650099397,0.7586947461912044,0.030583873957367932,0.41026437189496096,0.969416126042632,0.7890855457227138,0.9384551838083437,0.11583151779230211,0.02,1.2366396307838796
PSO,LightGBM,GA,XGBoost,0.7883694109297374,0.5588668547228758,0.7532984668963894,0.030583873957367932,0.41026437189496096,0.969416126042632,0.7803700724054706,0.9144981412639405,0.11546840958605664,0.035,0.8529498001880671
GWO,CatBoost,MVO,XGBoost,0.7922728885734563,0.5565783781536698,0.7520498816997938,0.029966017917825147,0.4081352022711143,0.9700339820821748,0.8272995441137034,0.8583230070218918,0.06463326071169208,0.075,0.7992111730305238
MVO,CatBoost,MVO,LightGBM,0.799680624556423,0.5556282531183339,0.7573361307422136,0.030171969931006074,0.41727288857345635,0.9698280300689939,0.8500938589434165,0.8678232135481206,0.05664488017429194,0.065,1.4722599924225195
GWO,CatBoost,MVO,CatBoost,0.7914300922640171,0.5540486020223873,0.7510847068320318,0.029966017917825147,0.4081352022711143,0.9700339820821748,0.8272995441137034,0.8513011152416357,0.06427015250544663,0.07,0.8212840103004386
MVO,CatBoost,MVO,XGBoost,0.7969748048261178,0.5527886020113842,0.7548029226513705,0.030171969931006074,0.41727288857345635,0.9698280300689939,0.8419147224456959,0.8674101610904585,0.0570079883805374,0.065,0.9843207944088933
GWO,XGBoost,MVO,LightGBM,0.7909421575585521,0.5517927262409584,0.7500551271437733,0.030686849963958398,0.39952980837473384,0.9693131500360416,0.8352105122016626,0.8335398595621644,0.05773420479302832,0.06,0.9298747622847147
MVO,CatBoost,MVO,CatBoost,0.7961320085166785,0.5504682387464557,0.7539265977742925,0.030171969931006074,0.41727288857345635,0.9698280300689939,0.8415124698310539,0.8608013217678645,0.05737109658678286,0.06,1.0068878175800802
GWO,CatBoost,GA,XGBoost,0.7851312987934705,0.5492384225059361,0.7466364861831333,0.029966017917825147,0.4081352022711143,0.9700339820821748,0.8133547868061143,0.8351920693928129,0.06499636891793754,0.065,0.8947666162718386
GWO,CatBoost,MVO,Random Forest,0.7863289567068843,0.5485668830693928,0.7460486584334599,0.029966017917825147,0.4081352022711143,0.9700339820821748,0.8157683024939663,0.8380834365964478,0.06535947712418301,0.07,1.9675777836702026
GWO,LightGBM,MVO,LightGBM,0.78708303761533,0.5481044450271646,0.7463722043548725,0.030583873957367932,0.39571504613200853,0.969416126042632,0.8239474389916868,0.8323007021891781,0.05773420479302832,0.055,1.1671347455636805
PSO,GBM,MVO,LightGBM,0.7914744499645139,0.5475236952271336,0.7576691098762955,0.03140768201009165,0.4156760113555713,0.9685923179899083,0.8180477339769375,0.8277571251548946,0.11909949164851126,0.02,1.1495326842784057
PSO,XGBoost,MVO,LightGBM,0.8013218594748048,0.5467747414685211,0.7545373351891983,0.029966017917825147,0.4153211497515969,0.9700339820821748,0.8479485116653258,0.9211069805865345,0.029774872912127815,0.045,0.978517907942642
MVO,CatBoost,MVO,Random Forest,0.790764726756565,0.5460462854245617,0.7487627910833283,0.030171969931006074,0.41727288857345635,0.9698280300689939,0.829444891391794,0.8471705906650144,0.05773420479302832,0.065,2.1788458141119103
MVO,LightGBM,MVO,XGBoost,0.7767033356990773,0.5451707676083198,0.7357600684783933,0.02903923385851097,0.39513839602555,0.9709607661414891,0.7845266827567713,0.8500619578686494,0.0570079883805374,0.075,0.7478519728709834
MVO,LightGBM,MVO,CatBoost,0.7759492547906317,0.5442202495299765,0.7348168614984355,0.02903923385851097,0.39513839602555,0.9709607661414891,0.7843925985518906,0.8442792234613796,0.05628177196804648,0.075,0.769221914659963
MVO,LightGBM,MVO,LightGBM,0.7744410929737402,0.5441287149974027,0.7334234993683952,0.02903923385851097,0.39513839602555,0.9709607661414891,0.7776883883078574,0.8500619578686494,0.05664488017429194,0.08,1.20990814124617
GWO,XGBoost,MVO,XGBoost,0.7840667139815471,0.5439140343813393,0.7432387604649308,0.030686849963958398,0.39952980837473384,0.9693131500360416,0.8146956288549209,0.8327137546468402,0.05773420479302832,0.06,0.4626834838209398
GWO,XGBoost,GA,XGBoost,0.7808286018452804,0.5434628309511796,0.7413674810400572,0.030686849963958398,0.39952980837473384,0.9693131500360416,0.8117457763475463,0.8099958694754233,0.059186637618010164,0.06,0.5562241725802619
GWO,CatBoost,GA,CatBoost,0.7670777146912704,0.5433160425758203,0.73227083189925,0.029966017917825147,0.4081352022711143,0.9700339820821748,0.7574416733708769,0.8372573316811235,0.06535947712418301,0.085,0.8974887559420205
