level,subset,algo,k,accuracy,precision,recall,f1,fpr,fit_s,infer_us
level1,GWO,Random Forest,10,0.7843772178850248,0.9485707855052892,0.6568222551235097,0.7761867489295087,0.04706003501184224,0.5801713466644287,2.140288999353088
level1,GWO,Extra Trees,10,0.7926277501774308,0.9642613248349647,0.6601729915062728,0.7837550302974235,0.03233446606940583,0.3894765377044678,1.8608895830434633
level1,GWO,XGBoost,10,0.8038502484031228,0.9669146219606972,0.6786410036624327,0.7975274725274726,0.030686849963958398,0.3560817241668701,0.24475342335643457
level1,GWO,LightGBM,10,0.8001242015613911,0.966707768187423,0.6720174549988311,0.7928656798749655,0.030583873957367932,0.2776472568511963,0.4885550337196496
level1,GWO,GBM,10,0.7648598296664301,0.9180728241563055,0.6444323229174784,0.7572913328144316,0.07599629286376275,4.776618480682373,0.4435237034404422
level1,GWO,CatBoost,10,0.8130766501064585,0.9683730029344636,0.6943037481493026,0.8087501134610148,0.029966017917825147,2.6074459552764893,0.5765871598925296
level1,PSO,Random Forest,12,0.8090844570617459,0.969710320519881,0.6860437933452816,0.8035779481562614,0.028318401812377717,0.5997724533081055,2.3519193305454835
level1,PSO,Extra Trees,12,0.8137863733144074,0.9682247044789069,0.6957063819839476,0.809649043257459,0.030171969931006074,0.4028303623199463,2.5137486907926494
level1,PSO,XGBoost,12,0.8202625975869411,0.9689202178788849,0.7069274526611081,0.8174445846098396,0.029966017917825147,0.21821188926696777,0.2663172755028188
level1,PSO,LightGBM,12,0.8146735273243435,0.9678884203697697,0.697576560430141,0.8107961235395345,0.030583873957367932,0.2547738552093506,0.5331104575022473
level1,PSO,GBM,12,0.819375443577005,0.9674527798527371,0.7064599080495597,0.8166096198883084,0.03140768201009165,6.213066816329956,0.436723528388885
level1,PSO,CatBoost,12,0.8164921930447125,0.9667239158437098,0.7017844619340762,0.8132195584450765,0.03192256204304397,2.8900554180145264,0.49192868199561657
level1,MVO,Random Forest,16,0.7666341376863024,0.9205732059542324,0.6457570326501987,0.7590565605678956,0.07362784471218206,0.6092770099639893,1.9715642827550428
level1,MVO,Extra Trees,16,0.7875709723207949,0.9468888888888889,0.6640691966025092,0.7806531397425915,0.04922253115024199,0.4339256286621094,2.618606755545666
level1,MVO,XGBoost,16,0.8046930447125621,0.939245518966236,0.7023299306475493,0.8036916492041554,0.060035011842240756,0.21114277839660645,0.17739679053626728
level1,MVO,LightGBM,16,0.8008782824698367,0.968343062415806,0.6721733032026805,0.7935237569569017,0.02903923385851097,0.2756633758544922,0.5323172800078977
level1,MVO,GBM,16,0.7598030518097941,0.9163673102828918,0.6360944440115328,0.7509314198978888,0.07671712490989599,6.5162365436553955,0.5810606809606613
level1,MVO,CatBoost,16,0.8220369056068133,0.9688529818220474,0.7102002649419465,0.8196043165467626,0.030171969931006074,3.0041322708129883,0.7567124810093595
level2,GA,Random Forest,19,0.7258630094288163,0.6264189118673507,0.5799443861676444,0.5383100975029892,0.08748294916980254,0.6220729351043701,3.3539491348902732
level2,GA,Extra Trees,19,0.714330242343957,0.5819167667750247,0.5779521745333516,0.5327493985657508,0.0911189511221878,0.4635481834411621,3.3466291847487617
level2,GA,XGBoost,19,0.7652926050027273,0.6932789232544321,0.6189096789152047,0.6113942695118187,0.07628323364473462,0.799811601638794,0.7795932686246213
level2,GA,LightGBM,19,0.7017065378321515,0.6292799418660723,0.5649366105412996,0.5464784806137692,0.09622266619580801,1.063905954360962,2.8693832983651464
level2,GA,GBM,19,0.736460687290579,0.5942974350388007,0.5652724358572345,0.5329205748792488,0.09136090186214238,25.79768204689026,2.008007236535111
level2,GA,CatBoost,19,0.6997584352840334,0.5443035464084693,0.5526742968746727,0.5090653958005388,0.09584191179468075,4.365693807601929,0.7862629693880797
level2,MVO,Random Forest,16,0.7274214914673108,0.6146428627022738,0.5622872638017047,0.5082950002704731,0.08644356865671302,0.6042804718017578,3.4081613544662384
level2,MVO,Extra Trees,16,0.7278890360788592,0.61961161222628,0.5602882105265863,0.5086257381760073,0.08338781979034932,0.4786226749420166,3.7038947716047614
level2,MVO,XGBoost,16,0.74752590976389,0.6285639361425961,0.5808370870932507,0.5307003473773686,0.0756365239135173,0.7327566146850586,0.5454663354182089
level2,MVO,LightGBM,16,0.7836047689550378,0.6361329302295105,0.6094068512496995,0.5693389479972716,0.06734868139548246,0.993903398513794,1.7148190812478237
level2,MVO,GBM,16,0.7050572742149147,0.5909226801317413,0.525623528507814,0.47177981287039594,0.09310796410389123,19.024791955947876,1.7540755651285687
level2,MVO,CatBoost,16,0.7336554196212889,0.619928141608741,0.5660645025424307,0.5111831102644584,0.08086964884446408,3.976572275161743,0.5995485051185634
level2,MFO,Random Forest,19,0.7359152185771058,0.6550274020798955,0.5650182427755582,0.5493754918716894,0.08540887164567788,0.7043352127075195,3.53289776373047
level2,MFO,Extra Trees,19,0.7311618483596977,0.6117829051811086,0.5687169860201424,0.5492181309058619,0.08790299536260344,0.5391528606414795,3.524481678923098
level2,MFO,XGBoost,19,0.7439414010753526,0.644658180978454,0.58831130993128,0.5709608134423889,0.08669916241407721,0.8328890800476074,0.6233662109089633
level2,MFO,LightGBM,19,0.7131613808150861,0.732246185388624,0.5660954055873607,0.5586552837527662,0.09244462283262976,1.1416418552398682,1.7157294303770978
level2,MFO,GBM,19,0.7272656432634614,0.7211065878469749,0.5649203255209951,0.5503463979773041,0.08839620091922268,37.86497712135315,2.0651920246964615
level2,MFO,CatBoost,19,0.7168238136055481,0.6157415440418567,0.5581805018796842,0.5166824441638271,0.09003609686242357,4.280280590057373,0.631763717162677
